"","NKR.OL.Open","NKR.OL.High","NKR.OL.Low","NKR.OL.Close","NKR.OL.Volume","NKR.OL.Adjusted"
"264",14.465,14.685,14.245,14.465,86522,3.762976
"265",14.63,14.795,14.52,14.74,49405,3.834515
"266",14.905,14.905,14.575,14.685,4366,3.820208
"267",14.575,14.795,14.575,14.63,15205,3.8059
"268",14.52,14.795,14.41,14.63,24523,3.8059
"269",14.63,14.63,14.465,14.52,33023,3.777284
"270",15.07,15.07,14.685,14.74,8367,3.834515
"271",14.96,14.96,14.465,14.465,7670,3.762976
"272",14.465,14.85,14.465,14.465,4769,3.762976
"273",14.245,14.465,14.245,14.245,56669,3.705745
"274",14.19,14.3,14.08,14.19,76325,3.691437
"275",14.3,14.3,14.08,14.245,33400,3.705745
"276",14.795,14.795,14.08,14.19,33641,3.691437
"277",14.19,14.3,14.19,14.245,82479,3.705745
"278",13.2,14.3,13.035,14.19,29515,3.691437
"279",14.3,14.685,14.19,14.3,35943,3.720053
"280",14.52,14.85,14.52,14.575,154172,3.791592
"281",14.63,14.85,14.63,14.63,33092,3.8059
"282",14.85,14.85,14.3,14.3,48380,3.720053
"283",14.3,14.3,14.135,14.135,62642,3.677129
"284",14.41,14.63,14.41,14.52,64127,3.777284
"285",9.5,9.5,8.81,8.81,162933,3.2292
"286",8.7,9,8.7,9,85668,3.298842
"287",9,9.09,8.9,9,47000,3.298842
"288",9.4,9.4,9,9.4,84655,3.445457
"289",9.4,9.4,9,9,11893,3.298842
"290",9.23,9.25,8.71,8.71,21931,3.192546
"291",9.2,9.2,8.7,9.05,4697,3.317169
"292",9.05,9.05,8.98,8.99,5280,3.295177
"293",9,9,8.49,8.6,233247,3.152227
"294",8.6,8.6,7.85,8.14,324169,2.983619
"295",8.39,8.39,7.9,8.2,69117,3.005611
"296",8.3,8.3,7.9,8,47570,2.932304
"297",8,8,7.8,7.9,14468,2.89565
"298",7.85,7.9,7.8,7.9,21524,2.89565
"299",8,8,7.75,7.79,12267,2.855331
"300",7.75,7.85,7.72,7.85,56859,2.877323
"301",7.9,7.9,7.7,7.9,52881,2.89565
"302",7.98,8,7.94,8,81148,2.932304
"303",7.98,8.2,7.98,8.2,56121,3.005611
"304",8.35,8.35,8.1,8.1,98897,2.968958
"305",8.25,8.53,8.25,8.5,69159,3.115573
"306",8.67,9.01,8.67,8.9,54456,3.262188
"307",8.71,8.99,8.7,8.9,53636,3.262188
"308",8.5,8.89,8.5,8.8,16127,3.225534
"309",8.75,8.9,8.68,8.9,60225,3.262188
"310",8.9,9.4,8.9,9.25,59520,3.390476
"311",9.15,9.56,9.15,9.5,12640,3.482111
"312",9.5,9.5,9.3,9.5,41634,3.482111
"313",9.47,9.49,9.35,9.48,8700,3.47478
"314",9.3,9.3,9.12,9.12,44339,3.342826
"315",9.13,9.25,9.1,9.24,32606,3.386811
"316",9.25,9.3,9.25,9.3,2994,3.408803
"317",9.05,9.3,9.05,9.1,59560,3.335496
"318",9.1,9.2,8.9,8.9,87265,3.262188
"319",9.05,9.05,8.8,8.8,36399,3.225534
"320",9.21,9.21,9,9.21,11422,3.375815
"321",9.22,9.35,9.1,9.32,71943,3.416134
"322",9.32,9.45,9.1,9.45,29144,3.463784
"323",9.45,9.7,9.45,9.7,154401,3.555418
"324",9.75,9.75,9.75,9.75,140,3.573745
"325",8.82,9.5,8.82,9.44,33691,3.460119
"326",9.6,9.6,9.25,9.45,26812,3.463784
"327",9.25,9.4,8.41,9.4,32603,3.445457
"328",9.99,9.99,9.3,9.75,6920,3.573745
"329",10.2,10.2,9.89,9.89,7007,3.625061
"330",9.95,9.95,9.89,9.89,9563,3.625061
"331",9.88,9.9,9.72,9.8,14200,3.592072
"332",9.7,9.8,9.63,9.8,11386,3.592072
"333",9.26,9.97,9.26,9.96,7170,3.650718
"334",9.95,9.95,9.94,9.94,394,3.643387
"335",9.94,9.94,9.94,9.94,0,3.643387
"336",9.78,9.8,9.66,9.8,1608,3.592072
"337",9.4,9.9,9.4,9.7,15334,3.555418
"338",9.5,9.7,9.5,9.7,9298,3.555418
"339",9.45,9.7,9.31,9.66,69026,3.540757
"340",9.57,9.8,9.57,9.8,18300,3.592072
"341",9.7,9.85,9.5,9.8,8528,3.592072
"342",9.8,9.8,9.8,9.8,0,3.592072
"343",9.8,9.8,9.8,9.8,0,3.592072
"344",9.35,9.6,9.33,9.6,16276,3.518765
"345",9.22,9.63,9.22,9.6,33989,3.518765
"346",9.6,9.6,9.6,9.6,0,3.518765
"347",9.5,9.5,9.15,9.35,36961,3.42713
"348",9.06,9.25,9.06,9.25,23057,3.390476
"349",9.03,9.48,9.03,9.48,39839,3.47478
"350",9.1,9.1,9.1,9.1,3209,3.335496
"351",9.15,9.38,8.82,9.15,34664,3.353822
"352",9.15,9.24,9,9,60750,3.298842
"353",9,9.2,8.9,9.2,52808,3.372149
"354",9.01,9.29,9,9.2,14761,3.372149
"355",9.05,9.2,9.05,9.13,56599,3.346492
"356",9.2,9.5,9.01,9.5,9799,3.482111
"357",9.4,9.4,9.4,9.4,1695,3.445457
"358",9.6,9.6,9.25,9.3,41803,3.408803
"359",9.25,9.3,9,9,127250,3.298842
"360",9,9,8.61,8.76,22860,3.210873
"361",9,9,8.74,8.8,4838,3.225534
"362",9.24,9.48,9.1,9.1,18876,3.335496
"363",8.95,9.05,8.92,9.05,65830,3.317169
"364",9,9,8.95,8.95,42846,3.280515
"365",8.99,9.1,8.9,9.1,34942,3.335496
"366",9,9,8.77,8.77,7294,3.214538
"367",9,9,9,9,500,3.298842
"368",9.24,9.24,8.8,8.8,16773,3.225534
"369",9.25,9.25,8.81,9,41486,3.298842
"370",9,9,8.8,8.8,11623,3.225534
"371",8.78,8.78,8.66,8.7,24576,3.18888
"372",8.75,9,8.7,8.9,51376,3.262188
"373",9,9,9,9,2000,3.298842
"374",8.9,8.9,8.7,8.9,34522,3.262188
"375",8.7,8.99,8.7,8.99,22301,3.295177
"376",8.87,8.87,8.7,8.7,14900,3.18888
"377",8.68,8.99,8.68,8.8,6745,3.225534
"378",8.76,9,8.75,9,63970,3.298842
"379",8.9,8.95,8.8,8.95,5000,3.280515
"380",8.95,8.95,8.76,8.78,27595,3.218204
"381",8.8,8.9,8.78,8.85,14155,3.243861
"382",8.98,8.98,8.98,8.98,10505,3.291511
"383",8.85,8.98,8.76,8.9,28100,3.262188
"384",8.9,8.9,8.9,8.9,1113,3.262188
"385",8.9,8.9,8.9,8.9,0,3.262188
"386",8.76,8.9,8.76,8.9,30562,3.262188
"387",8.85,8.88,8.8,8.88,117179,3.254857
"388",8.8,8.9,8.8,8.9,34889,3.262188
"389",8.9,8.9,8.76,8.8,8530,3.225534
"390",8.8,8.8,8.8,8.8,0,3.225534
"391",8.8,8.8,8.7,8.7,23716,3.18888
"392",8.7,8.9,8.7,8.9,31176,3.262188
"393",8.9,8.9,8.7,8.7,28099,3.18888
"394",8.9,8.9,8.7,8.7,16917,3.18888
"395",8.78,8.99,8.71,8.8,3300,3.225534
"396",8.9,8.9,8.59,8.7,34386,3.18888
"397",8.7,8.7,8.54,8.6,43741,3.152227
"398",8.6,8.6,8.4,8.5,16228,3.115573
"399",8.4,8.6,8.4,8.6,4117,3.152227
"400",8.6,8.6,8.47,8.47,14380,3.104577
"401",8.49,8.49,8,8.34,178233,3.056927
"402",8.2,8.4,8.15,8.4,21700,3.078919
"403",8.21,8.7,8.2,8.7,23165,3.18888
"404",8.7,8.7,8.65,8.65,3881,3.170553
"405",8.17,8.48,7.96,8.29,31761,3.0386
"406",8.3,8.3,8.25,8.29,25787,3.0386
"407",8.2,8.2,8.02,8.02,138239,2.939635
"408",8,8.1,8,8.1,38145,2.968958
"409",8.1,8.1,8,8.1,84518,2.968958
"410",8.02,8.1,7.9,7.9,72676,2.89565
"411",7.93,7.95,7.93,7.95,10918,2.913977
"412",8.05,8.1,7.9,8,50700,2.932304
"413",8.05,8.05,8.05,8.05,4300,2.950631
"414",7.78,8.05,7.78,8.05,61442,2.950631
"415",8.02,8.02,7.9,8.02,6800,2.939635
"416",7.78,8,7.78,7.9,27578,2.89565
"417",7.99,8,7.93,7.99,23905,2.928638
"418",7.8,8,7.8,7.99,20155,2.928638
"419",8,8,7.8,7.86,50545,2.880989
"420",8,8,7.6,7.91,129984,2.899315
"421",7.95,7.99,7.85,7.9,50524,2.89565
"422",7.66,7.96,7.61,7.96,27675,2.917643
"423",7.75,8,7.75,7.92,57911,2.902981
"424",7.85,7.92,7.85,7.86,8692,2.880989
"425",7.98,7.98,7.86,7.9,6090,2.89565
"426",8,8,7.99,7.99,7000,2.928638
"427",8,8,7.81,7.85,68430,2.877323
"428",7.8,7.95,7.8,7.95,22500,2.913977
"429",7.9,7.92,7.9,7.9,6000,2.89565
"430",7.8,7.8,7.65,7.65,115717,2.804016
"431",7.63,7.63,7.55,7.55,20570,2.767362
"432",7.5,7.6,7.45,7.45,109125,2.730708
"433",7.45,7.49,7.3,7.35,160147,2.694054
"434",7.35,7.52,7.34,7.42,196706,2.719712
"435",6.44,6.44,6.28,6.28,179902,2.660403
"436",6.28,6.3,6.21,6.21,120100,2.630749
"437",6,6.2,5.93,6,267285,2.541787
"438",5.98,6,5.9,6,272150,2.541787
"439",6.15,6.15,5.97,6,77903,2.541787
"440",5.9,5.99,5.9,5.99,14514,2.53755
"441",5.9,6,5.9,6,7400,2.541787
"442",5.95,5.95,5.95,5.95,10000,2.520605
"443",5.8,5.9,5.74,5.8,67833,2.457061
"444",5.85,5.85,5.78,5.79,75619,2.452824
"445",5.98,5.98,5.81,5.81,15956,2.461297
"446",5.97,5.99,5.71,5.94,62557,2.516369
"447",5.95,5.95,5.8,5.9,82493,2.499424
"448",5.99,5.99,5.9,5.99,57204,2.53755
"449",6.5,6.5,6.15,6.18,75737,2.61804
"450",6.44,6.44,6.44,6.44,1800,2.728184
"451",6.4,6.4,6.2,6.3,40790,2.668876
"452",6.4,6.4,6.28,6.28,33287,2.660403
"453",6.28,6.35,6.25,6.25,9902,2.647695
"454",6.2,6.3,6.2,6.2,30214,2.626513
"455",6.29,6.33,6.15,6.15,21427,2.605331
"456",6.3,6.3,6.2,6.2,11119,2.626513
"457",6.3,6.34,6.3,6.34,2884,2.685822
"458",6.37,6.37,6.31,6.31,1100,2.673112
"459",6.36,6.36,6.36,6.36,1155,2.694294
"460",6.38,6.49,6.3,6.4,34027,2.711239
"461",6.5,6.6,6.43,6.53,87034,2.766311
"462",6.57,6.63,6.31,6.32,53007,2.677349
"463",6.5,6.8,6.46,6.69,38551,2.834092
"464",6.77,6.77,6.71,6.71,19911,2.842565
"465",6.71,6.74,6.6,6.6,24120,2.795965
"466",6.6,6.7,6.6,6.66,13206,2.821383
"467",6.76,6.76,6.48,6.5,16919,2.753602
"468",6.6,6.74,6.5,6.74,36255,2.855274
"469",6.74,6.95,6.7,6.84,25150,2.897637
"470",6.75,6.88,6.7,6.8,35830,2.880692
"471",6.8,6.98,6.67,6.96,68509,2.948473
"472",7.15,7.15,7.02,7.02,19087,2.973891
"473",7,7.19,6.91,7.1,3154,3.007781
